B,G,R,Target
90,187,84,hijau
77,184,83,hijau
89,188,91,hijau
86,187,87,hijau
84,185,85,biru
187,203,212,hijau
95,192,84,hijau
96,193,85,hijau
102,194,77,hijau
94,191,67,hijau
95,192,78,hijau
96,192,87,hijau
94,192,80,hijau
96,191,78,hijau
97,191,74,hijau
98,191,70,hijau
108,192,71,hijau
109,190,54,hijau
109,191,55,hijau
111,192,61,hijau
111,194,61,hijau
110,195,65,hijau
119,195,65,hijau
115,192,60,hijau
114,190,57,hijau
115,191,58,hijau
112,189,55,hijau
114,190,55,hijau
114,190,56,hijau
114,191,58,hijau
114,190,56,hijau
114,190,54,hijau
112,188,54,hijau
111,188,53,hijau
112,188,53,hijau
113,190,55,hijau
113,190,55,hijau
112,190,55,hijau
110,188,53,hijau
112,188,52,hijau
110,188,53,hijau
111,189,53,hijau
113,190,56,hijau
122,196,62,hijau
121,196,63,hijau
123,196,63,hijau
123,196,63,hijau
123,197,65,hijau
124,197,64,hijau
109,187,52,hijau
109,188,52,hijau
107,186,50,biru
255,174,46,biru
255,175,48,biru
255,175,48,biru
255,173,47,biru
255,174,30,biru
255,173,29,biru
254,172,29,biru
255,172,30,biru
255,173,30,biru
255,173,30,biru
255,173,30,biru
255,172,29,biru
255,172,30,biru
254,171,29,biru
255,171,29,biru
255,171,29,biru
255,173,29,biru
255,174,29,biru
255,174,29,biru
255,174,29,biru
255,174,30,biru
255,175,30,biru
255,174,30,biru
255,177,48,biru
255,176,48,biru
255,176,48,biru
255,175,49,biru
255,177,46,biru
254,177,41,merah
112,119,255,merah
110,120,254,merah
116,120,251,merah
117,125,254,merah
116,125,254,merah
114,125,254,merah
117,125,255,merah
113,122,255,merah
116,123,253,merah
116,123,254,merah
116,125,254,merah
114,128,255,merah
115,130,255,merah
116,128,255,merah
117,127,254,merah
118,127,255,merah
118,125,255,merah
121,126,255,merah
120,125,255,merah
117,125,255,merah
118,126,254,merah
118,125,254,merah
116,125,254,merah
116,126,254,merah
117,124,254,merah
119,123,254,merah
119,124,254,merah
121,122,254,merah
118,123,254,kuning
88,158,163,kuning
147,171,159,kuning
137,176,171,kuning
117,178,177,kuning
119,177,173,kuning
123,177,172,kuning
127,174,170,kuning
114,163,160,kuning
118,175,171,kuning
114,178,174,kuning
118,178,176,kuning
116,178,176,kuning
99,162,164,kuning
98,162,161,kuning
98,164,166,kuning
102,162,165,kuning
92,160,162,kuning
95,161,165,kuning
101,162,163,kuning
104,163,161,kuning
101,162,162,kuning
101,161,162,kuning
101,161,161,kuning
102,160,164,hitam
128,99,73,hitam
131,100,77,hitam
176,131,98,hitam
173,142,118,hitam
176,147,128,hitam
146,118,97,hitam
128,114,101,hitam
123,113,98,hitam
169,130,101,hitam
179,138,103,hitam
181,141,105,hitam
157,117,85,hitam
156,117,86,hitam
157,117,87,hitam
158,120,87,hitam
129,96,60,hitam
138,105,74,hitam
144,111,82,putih
173,171,171,putih
170,170,171,putih
168,168,169,putih
168,168,168,putih
168,168,168,putih
168,169,169,putih
168,170,170,putih
169,167,170,putih
167,166,166,putih
169,167,168,putih
167,165,166,putih
167,167,167,putih
168,168,170,putih
166,166,167,putih
170,168,170,putih
170,169,170,putih
168,169,170,putih
167,168,168,putih
168,166,167,putih
170,170,171,putih
170,170,171,putih
168,167,169,putih
169,168,169,putih
166,166,168,putih
173,172,174,putih
172,172,171,putih
180,178,179,putih
180,179,180,putih
