B,G,R,Target
176,187,104,hijau
196,183,51,hijau
196,183,49,hijau
197,182,50,hijau
197,182,49,hijau
207,194,62,hijau
207,196,67,hijau
207,196,69,hijau
206,195,72,hijau
200,195,73,hijau
184,179,54,hijau
185,179,53,hijau
188,178,52,hijau
187,179,52,hijau
188,179,52,hijau
189,180,51,hijau
192,180,50,hijau
189,179,51,hijau
182,178,53,hijau
187,174,45,hijau
192,174,45,hijau
192,176,48,hijau
192,179,54,hijau
193,180,53,hijau
195,182,54,hijau
191,181,51,hijau
197,183,61,hijau
229,210,86,hijau
230,210,86,hijau
230,210,86,hijau
229,210,86,hitam
163,119,86,hitam
167,127,95,hitam
171,129,95,hitam
160,139,108,hitam
164,145,121,hitam
166,146,126,hitam
169,145,121,hitam
162,142,114,hitam
158,139,110,hitam
132,134,116,hitam
160,155,140,hitam
160,157,143,hitam
165,156,145,hitam
162,153,138,hitam
155,147,130,hitam
145,138,122,hitam
137,127,108,hitam
142,131,113,hitam
117,114,98,hitam
56,67,55,hitam
2,18,15,hitam
0,0,2,hitam
0,1,6,hitam
0,0,2,hitam
0,2,5,hitam
1,8,8,hitam
0,2,3,hitam
0,1,3,hitam
0,0,2,hitam
0,0,3,hitam
0,0,3,hitam
0,0,3,hitam
0,0,3,hitam
180,176,154,hitam
